,word_name,use_num
4,AI,43
147,數據,17
72,應用,12
69,企業,12
42,創業,11
179,領域,10
177,學習,10
122,解決,10
16,問題,9
182,Learning,9
82,新創團隊,9
279,需求,9
153,終端,8
176,機器,8
304,Google,8
249,模式,8
121,客服,8
7,取代,7
266,客戶,7
6,發展,7
116,新創,7
405,運算,7
355,可能,7
146,建立,7
268,Chatbot,7
193,人力,6
124,獲得,6
88,機會,6
345,競爭,5
603,超過,5
404,雲端,5
93,AppWorks,5
37,未來,5
191,需要,5
114,智能,5
181,Supervised,5
408,設備,5
24,如何,5
22,現在,5
542,技術債,4
62,公司,4
411,一定,4
313,很多,4
373,手機,4
371,不同,4
65,服務,4
350,廠商,4
55,美元,4
212,例如,4
78,面對,4
263,未必,4
619,AW,4
584,加速器,4
152,必須,4
275,消費者,4
478,語言,4
44,時間,4
180,包括,4
151,認為,4
498,這個,4
185,建議,4
238,硬體,4
338,重點,4
12,還是,4
232,訓練,4
187,選擇,4
83,能夠,4
230,補充,4
229,角度,4
231,指出,4
195,Domain,3
203,雖然,3
118,照片,3
410,這件,3
86,一同,3
340,合作,3
351,抄襲,3
123,方案,3
593,募資,3
484,一段,3
483,還有,3
92,交流,3
596,彼此,3
555,000,3
10,只是,3
81,技術,3
224,容易,3
276,語音,3
277,甚至,3
418,如果,3
160,用戶,3
285,文字,3
288,價值,3
244,運用,3
243,舉例,3
241,成本,3
228,策略,3
164,能力,3
165,所以,3
205,目前,3
51,市場,3
626,平台,3
138,趨勢,3
479,中文,3
269,經驗,3
298,普遍,3
300,想像,3
56,快速,3
544,CTO,3
440,這樣,3
171,主要,3
158,收集,2
480,不錯,2
172,其中,2
324,投入,2
477,只要,2
560,投資,2
170,同時,2
161,才能,2
321,非常,2
476,主題,2
316,透過,2
136,分享,2
183,Unsupervised,2
221,控制,2
270,為例,2
267,建置,2
259,人類,2
257,是否,2
515,臉辨識,2
526,利基,2
527,要花,2
236,軟體,2
235,因為,2
233,銷售夥伴,2
293,而是,2
225,因此,2
493,門檻,2
220,無法,2
184,Reinforcement,2
218,許多,2
489,代表,2
302,科技,2
541,聰明,2
543,通常,2
571,環境,2
487,英文,2
485,距離,2
309,外界,2
196,Data,2
553,元解決,2
310,實際,2
188,應該,2
206,突破,2
271,其實,2
103,Accelerator,2
105,成功,2
120,推出,2
76,一樣,2
117,技術長,2
113,國家,2
111,銷售,2
110,產品,2
419,克服,2
27,擔心,2
374,時代,2
434,過程,2
43,最好,2
378,各國,2
382,這是,2
436,搜集,2
383,台灣,2
437,分析,2
449,以為,2
38,商業,2
448,大家,2
365,本身,2
21,事情,2
119,以及,2
416,所有,2
50,全球,2
412,發生,2
49,預估,2
400,效能,2
148,水管,2
575,加入,2
15,一個,2
578,進駐,2
463,不是,2
579,期間,2
77,普及,2
139,觀察,2
656,科學家,2
273,減少,2
582,還可,2
398,晶片,2
465,肌肉,2
131,碩網,2
464,其他,2
376,不會,2
429,成解決,1
430,供應商,1
496,差異,1
497,語言上,1
428,定位,1
427,提醒,1
495,影像,1
473,多年,1
426,相比,1
503,至少,1
413,面來,1
414,必然,1
507,文化,1
415,從頻,1
506,出來,1
417,往雲端,1
505,Echo,1
504,Amazon,1
502,動作,1
425,還無法,1
501,這塊,1
420,頻寬,1
421,限制,1
500,切入,1
499,還在,1
422,這麼,1
423,監控,1
424,水準,1
431,這趨,1
439,差別,1
432,勢並,1
462,Samsung,1
455,這很像,1
456,以前,1
457,就是,1
458,重視,1
459,但後來,1
482,真正,1
460,發現,1
461,Apple,1
481,但離,1
494,這在,1
466,最強,1
467,會贏,1
468,善用,1
469,輕巧,1
470,靈活,1
475,熱門,1
471,不能,1
474,近年,1
454,介面,1
453,使用者,1
452,一部分,1
451,這只,1
433,不管,1
492,很大,1
491,地區,1
435,不變,1
490,自然,1
438,預測,1
472,已經,1
441,雇用,1
442,嵌入式,1
443,系統,1
488,通用,1
444,工程,1
445,辦法,1
446,一些,1
447,移到,1
486,就算,1
450,決勝點,1
0,我們,1
546,會想,1
508,若有,1
613,創造,1
629,每月,1
628,Scooter,1
627,WeMo,1
625,機車,1
624,電動,1
623,共享,1
622,1000,1
621,每天,1
620,11,1
618,TaxiGo,1
617,計程車,1
616,代表性,1
615,除了,1
614,國際,1
612,網絡,1
631,以數據,1
611,創企業,1
610,家新,1
609,300,1
608,實驗,1
607,初期,1
606,降低,1
605,大幅,1
604,資源,1
602,贊助,1
601,微軟,1
600,亞馬遜,1
599,厲害,1
598,變得,1
597,刺激,1
630,15,1
632,導向,1
594,每屆,1
649,台幣,1
664,一步,1
663,更進,1
662,有意,1
661,雙方,1
660,相處,1
659,創投,1
658,職務上,1
657,重要,1
655,資料,1
654,人數,1
653,來源,1
652,豐富,1
651,更扎實,1
650,佳績,1
648,萬新,1
633,經營,1
647,小時,1
646,24,1
645,上線,1
644,創下,1
643,今年,1
642,16,1
641,Cubo,1
640,影機,1
639,寶寶攝,1
638,第一支,1
637,AsiaYo,1
636,訂房,1
635,民宿,1
634,最大,1
595,35,1
592,管理,1
509,上表,1
528,那麼,1
547,很強,1
545,直覺,1
540,恐怖,1
539,前面,1
538,特殊,1
537,原來,1
536,精進,1
535,15%,1
534,10%,1
533,成果,1
532,90,1
531,85,1
530,做出,1
529,力氣,1
525,鎖定,1
549,效果,1
524,規格,1
523,適用,1
522,一套,1
521,牛刀,1
520,若要,1
519,形容,1
518,成效,1
517,白人,1
516,但換,1
514,做人,1
513,情形,1
512,視覺,1
511,Transfer,1
510,能表現,1
548,往後機器,1
550,更好,1
591,招募,1
570,考驗,1
590,行銷,1
589,開發,1
588,業務,1
587,第一手,1
586,實務,1
585,學長,1
583,歷屆,1
581,免費,1
580,完全,1
577,幫助,1
576,提供,1
574,考慮,1
573,創應,1
572,另外,1
569,永遠,1
551,若現,1
568,平衡,1
567,考量,1
566,生存,1
565,往往,1
564,反而,1
563,能還,1
562,萬元,1
561,營收達,1
559,只有,1
558,營收,1
557,900,1
556,省下,1
554,欠下,1
552,欠技術債,1
409,從雲端,1
333,金錢,1
407,放到,1
215,回饋,1
154,到終,1
150,pipeline,1
149,data,1
145,整理,1
144,內容,1
143,精彩,1
142,活動,1
141,以下,1
140,挑戰,1
137,有關,1
135,合夥人,1
134,創辦,1
133,連同,1
132,資訊,1
130,業採用,1
129,名企,1
128,工研院,1
127,積電,1
126,一銀,1
125,玉山,1
115,安控,1
112,32,1
109,980,1
108,資金共,1
107,兩輪,1
106,募得,1
104,AW9,1
102,AppWork,1
101,邀請,1
155,端的,1
156,能接,1
157,觸並,1
194,設定,1
213,遊戲,1
211,進行,1
210,場景,1
209,規範,1
208,則必須,1
207,有限,1
204,曠日費,1
202,看過,1
201,還未,1
200,特徵,1
199,學會,1
198,演算法,1
197,告訴,1
192,有標,1
159,最終,1
190,方向,1
189,最佳,1
186,此刻,1
178,三個,1
175,Statistical,1
174,統計學,1
173,分支,1
169,接觸,1
168,希望,1
167,發硬體,1
166,有開,1
163,改善,1
162,訓練並,1
100,分別,1
99,House,1
98,Open,1
26,給我意,1
45,根據,1
41,正是,1
40,思維,1
39,主流,1
36,主導,1
35,成為,1
34,正在,1
33,first,1
32,伯安,1
31,編輯,1
30,責任,1
29,下去,1
28,先看,1
25,有人,1
47,機構,1
23,狀況,1
20,辦才,1
19,怎麼,1
18,我應,1
17,油然而生,1
14,繼續,1
13,繼續過,1
11,生活,1
9,厚非,1
8,傷害,1
5,蓬勃,1
3,篇文章,1
2,挑選,1
46,研究,1
48,IDC,1
97,專屬,1
73,如同,1
96,一場,1
95,舉辦,1
94,特別,1
91,互相,1
90,社群,1
89,並鼓勵,1
87,探討,1
85,切磋,1
84,共同,1
80,商機,1
79,龐大,1
75,行動,1
74,今日,1
71,日常,1
52,將由,1
70,融入,1
68,75%,1
67,則會,1
66,2021,1
64,創新,1
63,採用,1
61,40%,1
60,年將,1
59,2019,1
58,2020,1
57,成長,1
54,80,1
53,2016,1
214,工廠,1
216,真實,1
406,直接,1
217,世界,1
361,很難,1
360,性質,1
359,相同,1
358,時面,1
357,數據則,1
356,但要,1
354,比較,1
353,印象,1
352,既定,1
349,尤其,1
348,創該,1
347,作為,1
346,同樣,1
344,別怕,1
343,斷層,1
342,執行間,1
341,會產生,1
339,否則,1
337,溝通時,1
336,開發時,1
335,專案,1
334,這些,1
1,什麼,1
332,多少,1
331,花上,1
330,各自,1
329,維運上,1
328,知識,1
327,前端,1
362,避免,1
363,核心,1
364,哪裡,1
388,原罪,1
403,原本,1
402,持續,1
401,範圍,1
399,進程,1
397,看清,1
396,他們,1
395,說門檻,1
394,商來,1
393,中國廠,1
392,以外,1
391,硬碰硬,1
390,既然,1
389,反過,1
387,劣勢,1
366,優勢,1
386,先天,1
385,走出,1
